snapped_at,price,market_cap,total_volume
2016-07-23 00:00:00 UTC,0.0368589,0,35
2016-07-24 00:00:00 UTC,0.0425053,0,7
2016-07-30 00:00:00 UTC,0.0395074,0,0
2016-07-31 00:00:00 UTC,0.039271,0,0
2016-08-02 00:00:00 UTC,0.0322186,0,0
2016-08-03 00:00:00 UTC,0.0327303,0,0
2016-08-04 00:00:00 UTC,0.033737,0,0
2016-08-05 00:00:00 UTC,0.0334339,0,1
2016-08-06 00:00:00 UTC,0.0351094,0,0
2016-08-25 00:00:00 UTC,0.0284736,0,0
2016-08-29 00:00:00 UTC,0.0360456,0,27
2016-08-30 00:00:00 UTC,0.0363684,0,27
2016-10-13 00:00:00 UTC,0.0222583,0,3996
2016-10-14 00:00:00 UTC,0.0224404,0,92788
2016-10-15 00:00:00 UTC,0.0186419,0,55399
2016-10-16 00:00:00 UTC,0.0170374,0,72876
2016-10-17 00:00:00 UTC,0.0195879,19568302,1238550
2016-10-18 00:00:00 UTC,0.0158774,15861514,312403
2016-10-19 00:00:00 UTC,0.0164323,16415859,232240
2016-10-20 00:00:00 UTC,0.0153809,15365511,161734
2016-10-21 00:00:00 UTC,0.0149632,14948229,91391
2016-10-22 00:00:00 UTC,0.0138849,13871008,136734
2016-10-23 00:00:00 UTC,0.0123409,12328552,90342
2016-10-24 00:00:00 UTC,0.0146027,14588089,120765
2016-10-25 00:00:00 UTC,0.0124716,12459122,96171
2016-10-26 00:00:00 UTC,0.0115425,11530951,60676
2016-10-27 00:00:00 UTC,0.011658,11646336,92544
2016-10-28 00:00:00 UTC,0.0109191,10908175,42923
2016-10-29 00:00:00 UTC,0.00952237,9512842,66223
2016-10-30 00:00:00 UTC,0.00963644,9626798,82447
2016-10-31 00:00:00 UTC,0.0111176,11106476,31596
2016-11-01 00:00:00 UTC,0.00926507,9255800,70373
2016-11-02 00:00:00 UTC,0.011163,11151831,90771
2016-11-03 00:00:00 UTC,0.0101954,10185199,46275
2016-11-04 00:00:00 UTC,0.0104632,10452731,23365
2016-11-05 00:00:00 UTC,0.0108391,10828255,33291
2016-11-06 00:00:00 UTC,0.0108551,10844239,28903
