snapped_at,price,market_cap,total_volume
2016-12-27 00:00:00 UTC,23.2962,0,8814
2016-12-28 00:00:00 UTC,7.75936,0,17330
2016-12-29 00:00:00 UTC,10.6567,0,14714
2016-12-30 00:00:00 UTC,9.5947,959470,21188
2016-12-31 00:00:00 UTC,14.0324,1403240,27949
2017-01-01 00:00:00 UTC,20.046,2004600,29649
2017-01-02 00:00:00 UTC,20.9768,2097680,7840
2017-01-03 00:00:00 UTC,19.7949,1979489,24833
2017-01-04 00:00:00 UTC,25.2492,2524920,28868
2017-01-05 00:00:00 UTC,19.2772,1927720,4361
2017-01-06 00:00:00 UTC,16.8184,1681840,8882
2017-01-07 00:00:00 UTC,22.4649,2246490,11644
2017-01-08 00:00:00 UTC,23.7048,2370480,9498
2017-01-09 00:00:00 UTC,24.2744,2427440,25742
2017-01-10 00:00:00 UTC,20.1306,2013060,3779
2017-01-11 00:00:00 UTC,20.2019,2020189,3247
2017-01-12 00:00:00 UTC,18.6953,1869530,1380
2017-01-13 00:00:00 UTC,21.2808,2128080,7052
2017-01-14 00:00:00 UTC,20.9694,2096940,3572
2017-01-15 00:00:00 UTC,22.0818,2208180,9011
2017-01-16 00:00:00 UTC,20.8486,2084860,2436
2017-01-17 00:00:00 UTC,22.279,2227900,13881
2017-01-18 00:00:00 UTC,24.5734,2457340,13785
2017-01-19 00:00:00 UTC,33.1103,3311030,12890
2017-01-20 00:00:00 UTC,35.8541,3585410,24906
2017-01-21 00:00:00 UTC,35.0534,3505340,16952
2017-01-22 00:00:00 UTC,41.7416,4174160,7581
2017-01-23 00:00:00 UTC,39.5977,3959770,17687
2017-01-24 00:00:00 UTC,35.8244,3582439,21810
2017-01-25 00:00:00 UTC,36.0116,3601160,1884
2017-01-26 00:00:00 UTC,54.095,5409500,32970
2017-01-27 00:00:00 UTC,47.3823,4738230,20709
2017-01-28 00:00:00 UTC,52.9942,5299420,13967
2017-01-29 00:00:00 UTC,54.8423,5484230,54288
2017-01-30 00:00:00 UTC,48.2481,4824810,22711
2017-01-31 00:00:00 UTC,43.5594,4355940,26758
2017-02-01 00:00:00 UTC,62.6495,6264950,35426
2017-02-02 00:00:00 UTC,93.9258,9392580,86821
2017-02-03 00:00:00 UTC,90.4218,9042180,44601
2017-02-04 00:00:00 UTC,89.0294,8902940,189383
2017-02-05 00:00:00 UTC,79.1655,7916549,89108
2017-02-06 00:00:00 UTC,83.0338,8303380,47614
2017-02-07 00:00:00 UTC,90.1637,9016370,43770
2017-02-08 00:00:00 UTC,90.4893,9048930,43931
2017-02-09 00:00:00 UTC,80.442,8044199,33019
2017-02-10 00:00:00 UTC,75.1878,7518780,46104
2017-02-11 00:00:00 UTC,50.7934,5079340,98600
2017-02-12 00:00:00 UTC,69.8418,6984180,118261
2017-02-13 00:00:00 UTC,68.7499,8085675,53919
2017-02-14 00:00:00 UTC,69.4289,8165532,30743
2017-02-15 00:00:00 UTC,73.6147,8657824,10224
2017-02-16 00:00:00 UTC,71.6332,8424780,21802
2017-02-17 00:00:00 UTC,70.486,8289858,35699
2017-02-18 00:00:00 UTC,68.6987,8079654,20100
2017-02-19 00:00:00 UTC,66.0731,7770857,41962
2017-02-20 00:00:00 UTC,57.7422,6791060,17239
2017-02-21 00:00:00 UTC,56.3835,6631263,26730
2017-02-22 00:00:00 UTC,59.032,6942753,47558
2017-02-23 00:00:00 UTC,66.58,7830473,15363
2017-02-24 00:00:00 UTC,59.7343,7025351,34599
2017-02-25 00:00:00 UTC,79.471,9346584,37262
2017-02-26 00:00:00 UTC,79.1287,9306326,14496
2017-02-27 00:00:00 UTC,73.9014,8691543,19395
2017-03-01 00:00:00 UTC,62.27,7323574.7,12326.0
2017-03-02 00:00:00 UTC,64.76,7616423.6000000015,23092.0
2017-03-03 00:00:00 UTC,57.6,6774336.0,10780.0
2017-03-04 00:00:00 UTC,61.56,7240071.6,3054.0
2017-03-05 00:00:00 UTC,58.5,6880185.0,12190.0
2017-03-06 00:00:00 UTC,73.57,8652567.7,13086.0
2017-03-07 00:00:00 UTC,65.97,7758731.7,2569.0
2017-03-08 00:00:00 UTC,61.93,7283587.3,1999.0
2017-03-09 00:00:00 UTC,61.03000000000001,7177738.300000001,6880.0
2017-03-10 00:00:00 UTC,65.2,7668172.0,22483.0
2017-03-11 00:00:00 UTC,59.93,7048367.3,33651.0
2017-03-12 00:00:00 UTC,43.75,5145437.5,47153.0
2017-03-13 00:00:00 UTC,58.91,6928405.1,80827.0
2017-03-14 00:00:00 UTC,55.07,7568930.94,25849.0
2017-03-15 00:00:00 UTC,52.47,7211581.74,25700.0
2017-03-16 00:00:00 UTC,58.45,8033484.9,38612.0
2017-03-17 00:00:00 UTC,45.47,6249487.74,48711.0
2017-03-18 00:00:00 UTC,48.5,6665937.0,49989.0
2017-03-19 00:00:00 UTC,58.29,8011494.18,80490.0
2017-03-20 00:00:00 UTC,66.74,9172879.079999998,44425.0
2017-03-21 00:00:00 UTC,73.16,10055256.72,12457.0
2017-03-22 00:00:00 UTC,63.75,8761927.5,25596.0
2017-03-23 00:00:00 UTC,67.36,9258093.12,12202.0
2017-03-24 00:00:00 UTC,54.73,7522200.66,17435.0
2017-03-25 00:00:00 UTC,62.75,8624485.5,27946.0
2017-03-26 00:00:00 UTC,51.9,7133239.8,15395.0
2017-03-27 00:00:00 UTC,58.07,7981256.94,19660.0
2017-03-28 00:00:00 UTC,65.11,8948848.62,3444.0
2017-03-29 00:00:00 UTC,64.27,8833397.34,9356.0
2017-03-30 00:00:00 UTC,65.81,9045058.02,39814.0
2017-03-31 00:00:00 UTC,64.55,8871881.1,27943.0
2017-04-01 00:00:00 UTC,68.04,9351553.680000002,8908.0
2017-04-02 00:00:00 UTC,65.20000000000002,8961218.400000002,59971.0
2017-04-03 00:00:00 UTC,70.66,9711651.72,11795.0
2017-04-04 00:00:00 UTC,69.1,9497242.2,20577.0
2017-04-05 00:00:00 UTC,69.6,9565963.2,12535.0
2017-04-06 00:00:00 UTC,72.99000000000001,10031891.580000002,33145.0
2017-04-07 00:00:00 UTC,82.16,11292234.72,48437.0
2017-04-08 00:00:00 UTC,79.59,10939008.78,19064.0
2017-04-09 00:00:00 UTC,73.61,10117105.62,14756.0
2017-04-10 00:00:00 UTC,78.65,10809813.3,42944.0
2017-04-11 00:00:00 UTC,66.66,9161883.72,114481.0
2017-04-12 00:00:00 UTC,77.23,10614645.66,45150.0
2017-04-13 00:00:00 UTC,96.81,13305760.02,190038.0
2017-04-14 00:00:00 UTC,102.06,14027330.52,56002.0
2017-04-15 00:00:00 UTC,99.28,13645241.76,36593.0
2017-04-16 00:00:00 UTC,110.64,15206582.88,49231.0
2017-04-17 00:00:00 UTC,108.04,17316219.04,49251.0
2017-04-18 00:00:00 UTC,108.28,17354685.28,61900.0
2017-04-19 00:00:00 UTC,106.6,17085421.6,64347.0
2017-04-20 00:00:00 UTC,108.31,17359493.56,32093.0
2017-04-21 00:00:00 UTC,109.56,17559838.56,60709.0
2017-04-22 00:00:00 UTC,114.54,18358013.04,53541.0
2017-04-23 00:00:00 UTC,148.4,23784958.4,158582.0
2017-04-24 00:00:00 UTC,160.95,25796422.2,102729.0
2017-04-25 00:00:00 UTC,181.24,29048422.24,323864.0
2017-04-26 00:00:00 UTC,185.74,29769664.24,148463.0
2017-04-27 00:00:00 UTC,184.02,29493989.52,124691.0
2017-04-28 00:00:00 UTC,197.56,31664126.56,105548.0
2017-04-29 00:00:00 UTC,220.57,35352077.32,145182.0
2017-04-30 00:00:00 UTC,215.03,34464148.28,112607.0
2017-05-01 00:00:00 UTC,209.98,33654754.48,104143.0
2017-05-02 00:00:00 UTC,213.55,34226939.8,36760.0
2017-05-03 00:00:00 UTC,223.41,35807261.16,72227.0
2017-05-04 00:00:00 UTC,229.77,36826616.52,76187.0
2017-05-05 00:00:00 UTC,235.96,37818724.96,121744.0
2017-05-06 00:00:00 UTC,247.55,39676323.8,101712.0
2017-05-07 00:00:00 UTC,259.06,41521100.56,101190.0
2017-05-08 00:00:00 UTC,257.31,41240617.56,110117.0
2017-05-09 00:00:00 UTC,263.2,42184643.2,266084.0
2017-05-10 00:00:00 UTC,256.77,41154068.52,91711.0
2017-05-11 00:00:00 UTC,238.33,45111817.39,505699.0
2017-05-12 00:00:00 UTC,246.5,46658259.5,128977.0
2017-05-13 00:00:00 UTC,247.19,46788864.77,69414.0
2017-05-14 00:00:00 UTC,249.41,47209073.03,72038.0
2017-05-15 00:00:00 UTC,246.59,46675541.56,196360.0
2017-05-16 00:00:00 UTC,229.11,43366857.24,112917.0
2017-05-17 00:00:00 UTC,221.97,42015369.48,159669.0
2017-05-18 00:00:00 UTC,241.55,45721550.2,129864.0
2017-05-19 00:00:00 UTC,238.14,45076091.76,139535.0
2017-05-20 00:00:00 UTC,258.52,48933699.68,76632.0
2017-05-21 00:00:00 UTC,271.21,51335713.64,186142.0
2017-05-22 00:00:00 UTC,258.61,48950735.24,140046.0
2017-05-23 00:00:00 UTC,299.82,56751128.88,167442.0
2017-05-24 00:00:00 UTC,315.02,59628245.68,217930.0
2017-05-25 00:00:00 UTC,302.16,57194053.44,246341.0
2017-05-26 00:00:00 UTC,291.54,55183857.36,130103.0
2017-05-27 00:00:00 UTC,263.46,49868762.64,109031.0
2017-05-28 00:00:00 UTC,307.46,58197258.64,106910.0
2017-05-29 00:00:00 UTC,317.1,60021956.4,280622.0
2017-05-30 00:00:00 UTC,334.1,63239784.4,233425.0
2017-05-31 00:00:00 UTC,411.07,77808973.88,337719.0
2017-06-01 00:00:00 UTC,512.9,97083763.6,698664.0
2017-06-02 00:00:00 UTC,665.13,125898466.92,579778.0
2017-06-03 00:00:00 UTC,766.74,145131614.16,1138310.0
2017-06-04 00:00:00 UTC,784.44,148481940.96,1149320.0
2017-06-05 00:00:00 UTC,780.37,147711555.08,590405.0
2017-06-06 00:00:00 UTC,748.76,141728287.84,471315.0
2017-06-07 00:00:00 UTC,767.4,145256541.6,399980.0
2017-06-08 00:00:00 UTC,878.96,166373064.64,569431.0
2017-06-09 00:00:00 UTC,725.06,185247029.52,2344130.0
2017-06-10 00:00:00 UTC,698.69,178509705.48,1891660.0
2017-06-11 00:00:00 UTC,683.3,174577683.6,864863.0
2017-06-12 00:00:00 UTC,648.6,165712111.2,705217.0
2017-06-13 00:00:00 UTC,722.91,184697721.72,716134.0
2017-06-14 00:00:00 UTC,635.69,162413709.48,649646.0
2017-06-15 00:00:00 UTC,638.39,163103537.88,597448.0
2017-06-16 00:00:00 UTC,661.44,168992628.48,418656.0
2017-06-17 00:00:00 UTC,728.37,186092708.04,366780.0
2017-06-18 00:00:00 UTC,761.88,194654244.96,610654.0
2017-06-19 00:00:00 UTC,755.01,192899014.92,570898.0
2017-06-20 00:00:00 UTC,711.71,181836211.32,290959.0
2017-06-21 00:00:00 UTC,687.57,175668634.44,401541.0
2017-06-22 00:00:00 UTC,696.15,177860755.8,210542.0
2017-06-23 00:00:00 UTC,789.88,201808020.96,195475.0
2017-06-24 00:00:00 UTC,742.94,189815226.48,257816.0
2017-06-25 00:00:00 UTC,754.92,192876020.64,421820.0
2017-06-26 00:00:00 UTC,737.25,188361477.0,1119280.0
2017-06-27 00:00:00 UTC,775.76,198200473.92,542688.0
2017-06-28 00:00:00 UTC,793.49,202730347.08,1294280.0
2017-06-29 00:00:00 UTC,833.81,213031784.52,1274210.0
2017-06-30 00:00:00 UTC,928.78,237295859.76,988699.0
2017-07-01 00:00:00 UTC,884.02,225860037.84,1449110.0
2017-07-02 00:00:00 UTC,865.87,221222858.04,803842.0
2017-07-03 00:00:00 UTC,857.51,219086944.92,825760.0
2017-07-04 00:00:00 UTC,893.94,228394518.48,655586.0
2017-07-05 00:00:00 UTC,920.23,235111403.16,713384.0
2017-07-06 00:00:00 UTC,903.53,230844686.76,701770.0
2017-07-07 00:00:00 UTC,843.49,215504947.08,1104890.0
2017-07-08 00:00:00 UTC,839.33,214442100.36,1442450.0
2017-07-09 00:00:00 UTC,669.3,244898877.9,6326050.0
2017-07-10 00:00:00 UTC,551.69,201865026.07,2237950.0
2017-07-11 00:00:00 UTC,556.59,203657950.77,1762750.0
2017-07-12 00:00:00 UTC,567.21,207543840.63,572303.0
2017-07-13 00:00:00 UTC,517.63,189402369.89,683988.0
2017-07-14 00:00:00 UTC,459.89,168275130.67,814809.0
2017-07-15 00:00:00 UTC,395.15,144586570.45,654899.0
2017-07-16 00:00:00 UTC,319.85,117034074.55,516967.0
2017-07-17 00:00:00 UTC,470.46,172142725.38,555078.0
2017-07-18 00:00:00 UTC,529.01,193566346.03,831093.0
2017-07-19 00:00:00 UTC,468.11,171282853.33,385190.0
2017-07-20 00:00:00 UTC,539.83,197525416.49,604755.0
2017-07-21 00:00:00 UTC,532.48,194836029.44,390748.0
2017-07-22 00:00:00 UTC,567.69,207719474.07,718256.0
2017-07-23 00:00:00 UTC,555.91,203409136.73,628392.0
2017-07-24 00:00:00 UTC,541.84,198260881.52,628985.0
2017-07-25 00:00:00 UTC,481.61,176222543.83,480512.0
2017-07-26 00:00:00 UTC,467.61,171099901.83,327201.0
2017-07-27 00:00:00 UTC,447.1,163595231.3,502844.0
2017-07-28 00:00:00 UTC,426.24,155962494.72,946688.0
2017-07-29 00:00:00 UTC,430.08,157367562.24,445945.0
2017-07-30 00:00:00 UTC,459.31,168062906.93,889457.0
2017-07-31 00:00:00 UTC,460.16,168373924.48,440174.0
2017-08-01 00:00:00 UTC,539.15,197276602.45,1220370.0
2017-08-02 00:00:00 UTC,571.91,209263584.73,1699840.0
2017-08-03 00:00:00 UTC,597.84,218751449.52,2831750.0
2017-08-04 00:00:00 UTC,580.13,212271307.39,1992580.0
2017-08-05 00:00:00 UTC,621.16,227284307.48,1555080.0
2017-08-06 00:00:00 UTC,584.99,214049595.97,2162680.0
2017-08-07 00:00:00 UTC,433.61,158659199.83,6194840.0
2017-08-08 00:00:00 UTC,434.45,228662765.15,11894500.0
2017-08-09 00:00:00 UTC,368.58,193993605.66,2788550.0
2017-08-10 00:00:00 UTC,351.2,184846042.4,2950650.0
2017-08-11 00:00:00 UTC,371.85,195714694.95,2995580.0
2017-08-12 00:00:00 UTC,375.11,197430520.97,2464560.0
2017-08-13 00:00:00 UTC,324.98,171045748.46,2312490.0
2017-08-14 00:00:00 UTC,313.42,164961408.34,1478400.0
2017-08-15 00:00:00 UTC,347.92,183119689.84,2382610.0
2017-08-16 00:00:00 UTC,390.66,205614905.82,2086460.0
2017-08-17 00:00:00 UTC,390.46,205509640.42,2081310.0
2017-08-18 00:00:00 UTC,310.31,163324531.37,1825730.0
2017-08-19 00:00:00 UTC,345.91,182061772.57,957172.0
2017-08-20 00:00:00 UTC,351.44,184972360.88,1189080.0
2017-08-21 00:00:00 UTC,350.95,184714460.65,926036.0
2017-08-22 00:00:00 UTC,344.74,181445969.98,497721.0
2017-08-23 00:00:00 UTC,340.75,179345925.25,660372.0
2017-08-24 00:00:00 UTC,365.5,192372518.5,796515.0
2017-08-25 00:00:00 UTC,363.68,191414603.36,667539.0
2017-08-26 00:00:00 UTC,380.88,200467427.76,908199.0
2017-08-27 00:00:00 UTC,448.05,235820812.35,4942910.0
2017-08-28 00:00:00 UTC,420.55,221346819.85,2832490.0
2017-08-29 00:00:00 UTC,425.6,224004771.2,1723080.0
2017-08-30 00:00:00 UTC,450.68,237205052.36,882267.0
2017-08-31 00:00:00 UTC,441.53,232389160.31,1156300.0
2017-09-01 00:00:00 UTC,385.01,202641158.27,1372700.0
2017-09-02 00:00:00 UTC,360.68,189835622.36,1188310.0
2017-09-03 00:00:00 UTC,367.41,193377803.07,670311.0
