snapped_at,price,market_cap,total_volume
2017-02-05 00:00:00 UTC,0.115808,0,23315
2017-02-06 00:00:00 UTC,0.14791,14873981,233004
2017-02-07 00:00:00 UTC,0.149076,14991857,142177
2017-02-08 00:00:00 UTC,0.141408,14221326,63005
2017-02-09 00:00:00 UTC,0.120179,12086848,56575
2017-02-10 00:00:00 UTC,0.116224,11689587,74133
2017-02-11 00:00:00 UTC,0.116377,11705465,42363
2017-02-12 00:00:00 UTC,0.116753,11743791,39684
2017-02-13 00:00:00 UTC,0.12734,12809265,164903
2017-02-14 00:00:00 UTC,0.119972,12068616,102272
2017-02-15 00:00:00 UTC,0.118915,11962801,56768
2017-02-16 00:00:00 UTC,0.1193,12002040,53164
2017-02-17 00:00:00 UTC,0.111069,11174407,69614
2017-02-18 00:00:00 UTC,0.115351,11605769,84479
2017-02-19 00:00:00 UTC,0.118835,11956730,46355
2017-02-20 00:00:00 UTC,0.116306,11702781,34053
2017-02-21 00:00:00 UTC,0.103864,10451307,107788
2017-02-22 00:00:00 UTC,0.104522,10517964,20111
2017-02-23 00:00:00 UTC,0.112626,11333952,144899
2017-02-24 00:00:00 UTC,0.110815,11152185,50325
2017-02-25 00:00:00 UTC,0.109108,10980852,15702
2017-02-26 00:00:00 UTC,0.104956,10563443,8765
2017-02-27 00:00:00 UTC,0.105117,10580100,13808
2017-02-28 00:00:00 UTC,0.0957712,9639820,63939
2017-03-01 00:00:00 UTC,0.0986376,9928733,95973
2017-03-02 00:00:00 UTC,0.0969869,9762987,54992
2017-03-03 00:00:00 UTC,0.0936725,9429755,69911
2017-03-04 00:00:00 UTC,0.0890489,8964673,27048
2017-03-05 00:00:00 UTC,0.0905586,9117039,19439
2017-03-06 00:00:00 UTC,0.0945798,9522270,19709
2017-03-07 00:00:00 UTC,0.0880902,8869274,36278
2017-03-08 00:00:00 UTC,0.0844789,8506013,19233
2017-03-09 00:00:00 UTC,0.0889667,8958272,13577
2017-03-10 00:00:00 UTC,0.0744189,7493733,41454
2017-03-11 00:00:00 UTC,0.0830397,8362183,31105
2017-03-12 00:00:00 UTC,0.0849947,8559412,49694
2017-03-13 00:00:00 UTC,0.0370814,3734356,564
2017-03-14 00:00:00 UTC,0.0802931,8086444,13315
2017-03-15 00:00:00 UTC,0.0671904,6767146,18487
2017-03-16 00:00:00 UTC,0.0969647,9766292,36833
2017-03-17 00:00:00 UTC,0.102937,10368261,24504
2017-03-18 00:00:00 UTC,0.0831861,8378982,23598
2017-03-19 00:00:00 UTC,0.0867388,8737237,23028
2017-03-20 00:00:00 UTC,0.0883073,8895622,65835
2017-03-21 00:00:00 UTC,0.0908727,9154421,48193
2017-03-22 00:00:00 UTC,0.0855918,8622539,39448
2017-03-23 00:00:00 UTC,0.0922392,9292326,27566
2017-03-24 00:00:00 UTC,0.0887169,8937665,33783
2017-03-25 00:00:00 UTC,0.0902005,9087521,15081
2017-03-26 00:00:00 UTC,0.102121,10288906,35050
2017-03-27 00:00:00 UTC,0.11342,11427772,153644
2017-03-28 00:00:00 UTC,0.173788,17510994,407657
2017-03-29 00:00:00 UTC,0.145371,14648295,220420
2017-03-30 00:00:00 UTC,0.173261,17459291,216249
2017-03-31 00:00:00 UTC,0.172918,17425492,88637
2017-04-01 00:00:00 UTC,0.183424,18484985,82854
2017-04-02 00:00:00 UTC,0.174916,17628295,151760
2017-04-03 00:00:00 UTC,0.184615,18606575,129303
2017-04-04 00:00:00 UTC,0.182732,18417536,98107
2017-04-05 00:00:00 UTC,0.190414,19192606,100804
2017-04-06 00:00:00 UTC,0.173206,17458840,164478
2017-04-07 00:00:00 UTC,0.174062,17545898,49299
