snapped_at,price,market_cap,total_volume
2017-02-22 00:00:00 UTC,40.1009,0,69837
2017-02-23 00:00:00 UTC,38.9539,0,1239
2017-02-24 00:00:00 UTC,45.2716,0,24218
2017-02-25 00:00:00 UTC,50.2358,0,25538
2017-02-26 00:00:00 UTC,50.9771,0,22478
2017-02-27 00:00:00 UTC,51.4988,0,178397
2017-02-28 00:00:00 UTC,40.189,0,890365
2017-03-01 00:00:00 UTC,23.1864,0,840314
2017-03-02 00:00:00 UTC,26.6647,0,230832
2017-03-03 00:00:00 UTC,26.0539,0,6264
2017-03-04 00:00:00 UTC,25.5509,0,148
2017-03-05 00:00:00 UTC,32.6586,0,1827
2017-03-06 00:00:00 UTC,33.5325,0,16279
2017-03-07 00:00:00 UTC,28.8989,0,31234
2017-03-08 00:00:00 UTC,25.8421,0,20988
2017-03-09 00:00:00 UTC,32.1324,0,14687
2017-03-10 00:00:00 UTC,30.5412,0,2278
2017-03-11 00:00:00 UTC,35.5784,0,17245
2017-03-12 00:00:00 UTC,49.7389,0,33315
2017-03-13 00:00:00 UTC,57.8829,0,5673
2017-03-14 00:00:00 UTC,61.7881,0,1441
2017-03-15 00:00:00 UTC,20.7695,12449238,479376
2017-03-16 00:00:00 UTC,29.6783,17789173,1096050
2017-03-17 00:00:00 UTC,33.7041,20202237,2425020
2017-03-18 00:00:00 UTC,29.3089,17567754,641362
2017-03-19 00:00:00 UTC,33.2728,19943716,291603
2017-03-20 00:00:00 UTC,32.3516,19391549,235531
2017-03-21 00:00:00 UTC,31.1559,18674846,132801
2017-03-22 00:00:00 UTC,29.0798,17430432,272693
2017-03-23 00:00:00 UTC,28.197,16901281,107046
2017-03-24 00:00:00 UTC,26.6446,15970773,166375
2017-03-25 00:00:00 UTC,27.7267,16619383,175906
2017-03-26 00:00:00 UTC,26.7813,16052711,141401
2017-03-27 00:00:00 UTC,31.155,18674307,255793
2017-03-28 00:00:00 UTC,31.4342,18841659,142598
2017-03-29 00:00:00 UTC,31.8818,19109950,175506
2017-03-30 00:00:00 UTC,31.4262,18836864,118198
2017-03-31 00:00:00 UTC,34.043,20405374,324229
2017-04-01 00:00:00 UTC,36.9543,22150407,422273
