snapped_at,price,market_cap,total_volume
2017-07-15 00:00:00 UTC,2.41,50824220.08,1662710.0
2017-07-16 00:00:00 UTC,2.09,44075775.92,501164.0
2017-07-17 00:00:00 UTC,3.45,72756663.6,1735940.0
2017-07-18 00:00:00 UTC,3.29,69382441.52,1638360.0
2017-07-19 00:00:00 UTC,3.36,70858663.68,1571330.0
2017-07-20 00:00:00 UTC,3.86,81403107.68,1369700.0
2017-07-21 00:00:00 UTC,3.77,79505107.76,979934.0
2017-07-22 00:00:00 UTC,4.08,86042663.04,642067.0
2017-07-23 00:00:00 UTC,4.19,88362440.72,540719.0
2017-07-24 00:00:00 UTC,4.49,94689107.12,1168620.0
2017-07-25 00:00:00 UTC,4.11,86675329.68,2000560.0
2017-07-26 00:00:00 UTC,4.38,92369329.44,686577.0
2017-07-27 00:00:00 UTC,4.15,87518885.2,739794.0
2017-07-28 00:00:00 UTC,3.53,74443774.64,734780.0
2017-07-29 00:00:00 UTC,3.92,82668440.96,779210.0
2017-07-30 00:00:00 UTC,3.63,76552663.44,1286200.0
2017-07-31 00:00:00 UTC,3.48,67167459.12,695091.0
2017-08-01 00:00:00 UTC,3.88,74887856.72,1069020.0
2017-08-02 00:00:00 UTC,3.58,69097558.52,681434.0
2017-08-03 00:00:00 UTC,3.9,75273876.6,396584.0
2017-08-04 00:00:00 UTC,3.99,77010966.06,581410.0
2017-08-05 00:00:00 UTC,4.14,79906115.16,885735.0
2017-08-06 00:00:00 UTC,4.64,89556612.16,881315.0
2017-08-07 00:00:00 UTC,4.97,95925940.18,1172990.0
2017-08-08 00:00:00 UTC,4.95,95539920.3,629529.0
2017-08-09 00:00:00 UTC,4.61,88977582.34,486530.0
2017-08-10 00:00:00 UTC,5.56,107313526.64,1645110.0
2017-08-11 00:00:00 UTC,7.39,142634345.66,8736750.0
2017-08-12 00:00:00 UTC,8.98,173322926.12,5982150.0
2017-08-13 00:00:00 UTC,9.19,177376134.86,3102200.0
2017-08-14 00:00:00 UTC,8.26,159426210.44,2824170.0
2017-08-15 00:00:00 UTC,6.89,132983848.66,1835340.0
2017-08-16 00:00:00 UTC,9.17,176990114.98,1608850.0
2017-08-17 00:00:00 UTC,9.49,183166433.06,1737150.0
2017-08-18 00:00:00 UTC,9.83,189728771.02,4332220.0
2017-08-19 00:00:00 UTC,10.15,195905089.1,8376300.0
2017-08-20 00:00:00 UTC,9.44,182201383.36,2820570.0
2017-08-21 00:00:00 UTC,9.21,177762154.74,2584410.0
2017-08-22 00:00:00 UTC,9.8,189149741.2,1534110.0
