snapped_at,price,market_cap,total_volume
2015-01-25 00:00:00 UTC,0.00444144,0,6046
2015-01-26 00:00:00 UTC,0.00338442,0,3073
2015-01-27 00:00:00 UTC,0.00296341,0,1517
2015-01-28 00:00:00 UTC,0.00214954,0,678
2015-01-29 00:00:00 UTC,0.00176217,0,810
2015-01-30 00:00:00 UTC,0.00159764,0,497
2015-01-31 00:00:00 UTC,0.00200498,0,1107
2015-02-01 00:00:00 UTC,0.00134055,0,794
2015-02-02 00:00:00 UTC,0.00158551,0,500
2015-02-03 00:00:00 UTC,0.00157186,0,141
2015-02-04 00:00:00 UTC,0.00141979,0,162
2015-02-05 00:00:00 UTC,0.00130081,0,621
2015-02-06 00:00:00 UTC,0.00112936,0,331
2015-02-07 00:00:00 UTC,0.00103832,0,144
2015-02-08 00:00:00 UTC,0.00131609,0,345
2015-02-09 00:00:00 UTC,0.0012775,0,789
2015-02-10 00:00:00 UTC,0.00140807,0,186
2015-02-11 00:00:00 UTC,0.00110451,0,77
2015-02-12 00:00:00 UTC,0.00107616,0,53
2015-02-13 00:00:00 UTC,0.00157922,0,227
2015-02-14 00:00:00 UTC,0.00202014,0,437
2015-02-15 00:00:00 UTC,0.0025797,0,7621
2015-02-16 00:00:00 UTC,0.00183858,0,1661
2015-02-17 00:00:00 UTC,0.0018935,22831,435
2015-02-18 00:00:00 UTC,0.00203737,24717,453
2015-02-19 00:00:00 UTC,0.00314279,38360,2785
2015-02-20 00:00:00 UTC,0.00398192,48896,5817
2015-02-21 00:00:00 UTC,0.0029139,35996,2731
2015-02-22 00:00:00 UTC,0.0033083,41111,2802
2015-02-23 00:00:00 UTC,0.00308368,38547,2804
2015-02-24 00:00:00 UTC,0.00287044,36089,439
2015-02-25 00:00:00 UTC,0.0023822,30059,956
2015-02-26 00:00:00 UTC,0.00171845,21683,1019
2015-02-27 00:00:00 UTC,0.00223493,28592,218
2015-02-28 00:00:00 UTC,0.00244773,31502,97
2015-03-01 00:00:00 UTC,0.00218667,28301,93
2015-03-02 00:00:00 UTC,0.00252154,32698,260
2015-03-04 00:00:00 UTC,0.00179703,23303,699
2015-03-05 00:00:00 UTC,0.00177817,23058,143
2015-03-06 00:00:00 UTC,0.00177988,23081,114
2015-03-07 00:00:00 UTC,0.00215848,27990,181
2015-03-08 00:00:00 UTC,0.00182784,23703,89
2015-03-09 00:00:00 UTC,0.00175418,22747,456
2015-03-10 00:00:00 UTC,0.001542,19996,1187
2015-03-11 00:00:00 UTC,0.00159655,20703,314
2015-03-12 00:00:00 UTC,0.00157795,20462,17
2015-03-13 00:00:00 UTC,0.00164844,21376,76
2015-03-14 00:00:00 UTC,0.00119751,15529,320
2015-03-15 00:00:00 UTC,0.00146574,19007,396
2015-03-16 00:00:00 UTC,0.0025071,35021,1990
2015-03-17 00:00:00 UTC,0.00288853,40558,933
2015-03-18 00:00:00 UTC,0.0028146,39721,211
2015-03-19 00:00:00 UTC,0.00169672,24065,824
2015-03-20 00:00:00 UTC,0.00176423,25147,220
2015-03-21 00:00:00 UTC,0.001872,26818,148
2015-03-22 00:00:00 UTC,0.00180788,26026,52
2015-03-23 00:00:00 UTC,0.00187046,27060,66
2015-03-24 00:00:00 UTC,0.00132788,19304,1085
2015-03-25 00:00:00 UTC,0.00155665,22740,202
2015-03-26 00:00:00 UTC,0.00127355,18694,114
2015-03-27 00:00:00 UTC,0.00183242,27027,1274
2015-03-28 00:00:00 UTC,0.00118294,17530,1030
2015-03-29 00:00:00 UTC,0.00150542,22416,307
2015-03-30 00:00:00 UTC,0.00130854,19583,392
2015-03-31 00:00:00 UTC,0.00125283,18836,124
2015-04-01 00:00:00 UTC,0.00135824,20516,575
2015-04-02 00:00:00 UTC,0.00142753,21676,360
2015-04-03 00:00:00 UTC,0.00129078,19689,507
2015-04-04 00:00:00 UTC,0.00135199,20718,65
2015-04-05 00:00:00 UTC,0.00125619,19337,62
2015-04-06 00:00:00 UTC,0.00138806,21463,311
2015-04-07 00:00:00 UTC,0.00134144,20836,154
2015-04-08 00:00:00 UTC,0.00140869,21977,125
2015-04-09 00:00:00 UTC,0.00129694,20324,377
2015-04-10 00:00:00 UTC,0.00139308,21928,482
2015-04-11 00:00:00 UTC,0.00125,19762,149
2015-04-12 00:00:00 UTC,0.00142658,22651,449
2015-04-13 00:00:00 UTC,0.00147564,23533,473
2015-04-14 00:00:00 UTC,0.00148839,23838,403
2015-04-15 00:00:00 UTC,0.00163778,26346,284
2015-04-16 00:00:00 UTC,0.00187053,30219,1756
2015-04-17 00:00:00 UTC,0.00177136,28738,3043
2015-04-18 00:00:00 UTC,0.00181148,29513,1063
2015-04-19 00:00:00 UTC,0.00148677,24324,341
2015-04-20 00:00:00 UTC,0.0014661,24085,303
2015-04-21 00:00:00 UTC,0.00135242,22310,304
2015-04-22 00:00:00 UTC,0.00159854,26479,1644
2015-04-23 00:00:00 UTC,0.00210495,35010,1994
2015-04-28 00:00:00 UTC,0.00229163,38845,3431
2015-04-29 00:00:00 UTC,0.0018867,32108,150
2015-04-30 00:00:00 UTC,0.00184204,31471,855
2015-05-01 00:00:00 UTC,0.00184738,31687,182
2015-05-02 00:00:00 UTC,0.00150955,25994,777
2015-05-03 00:00:00 UTC,0.00156907,27123,135
2015-05-04 00:00:00 UTC,0.00144012,24991,38
2015-05-05 00:00:00 UTC,0.00150019,26133,186
2015-05-06 00:00:00 UTC,0.00131543,23008,347
2015-05-07 00:00:00 UTC,0.00184061,32318,1007
2015-05-08 00:00:00 UTC,0.00225334,39713,1879
2015-05-09 00:00:00 UTC,0.00238374,42170,3153
2015-05-10 00:00:00 UTC,0.00194532,34544,154
2015-05-11 00:00:00 UTC,0.00178262,31772,415
2015-05-12 00:00:00 UTC,0.00172272,30822,49
2015-05-13 00:00:00 UTC,0.00169322,30407,304
2015-05-14 00:00:00 UTC,0.00159589,28765,41
2015-05-15 00:00:00 UTC,0.00142927,25856,1081
2015-05-16 00:00:00 UTC,0.00138402,25128,86
2015-05-17 00:00:00 UTC,0.00142006,25876,34
2015-05-18 00:00:00 UTC,0.00138983,25416,4
2015-05-19 00:00:00 UTC,0.00137498,25226,1176
2015-05-20 00:00:00 UTC,0.00113945,20905,113
2015-05-21 00:00:00 UTC,0.00142507,26145,31
2015-05-22 00:00:00 UTC,0.00119363,21899,88
2015-05-23 00:00:00 UTC,0.00194982,35772,1230
2015-05-24 00:00:00 UTC,0.00153784,28214,37
2015-05-25 00:00:00 UTC,0.00170275,31239,1420
2015-05-26 00:00:00 UTC,0.0014305,26244,13
2015-05-27 00:00:00 UTC,0.000759024,13925,2204
2015-05-28 00:00:00 UTC,0.000786032,14421,162
2015-05-29 00:00:00 UTC,0.00103488,18986,127
2015-05-30 00:00:00 UTC,0.000888537,16301,37
2015-05-31 00:00:00 UTC,0.000810903,14877,26
2015-06-01 00:00:00 UTC,0.000910038,16696,40
2015-06-02 00:00:00 UTC,0.000818435,15015,27
2015-06-03 00:00:00 UTC,0.000828543,15201,18
2015-06-04 00:00:00 UTC,0.00085717,15726,53
2015-06-05 00:00:00 UTC,0.00128164,23513,304
2015-06-06 00:00:00 UTC,0.00125928,23103,81
2015-06-07 00:00:00 UTC,0.000951325,17453,58
2015-06-08 00:00:00 UTC,0.00103064,18908,13
2015-06-09 00:00:00 UTC,0.000909882,16693,400
2015-06-10 00:00:00 UTC,0.000923944,16951,96
2015-06-11 00:00:00 UTC,0.00105881,19425,107
2015-06-12 00:00:00 UTC,0.000856188,15708,185
2015-06-13 00:00:00 UTC,0.000967,17741,12
2015-06-14 00:00:00 UTC,0.000918295,16847,73
2015-06-15 00:00:00 UTC,0.00100995,18529,28
2015-06-16 00:00:00 UTC,0.00105644,19382,45
2015-06-17 00:00:00 UTC,0.000991009,18181,117
2015-06-18 00:00:00 UTC,0.001508,27666,321
2015-06-19 00:00:00 UTC,0.00124752,22887,154
2015-06-20 00:00:00 UTC,0.00145878,26763,124
2015-06-21 00:00:00 UTC,0.00165104,30291,454
2015-06-22 00:00:00 UTC,0.00150529,27617,125
2015-06-23 00:00:00 UTC,0.00174102,31942,909
2015-06-24 00:00:00 UTC,0.00196769,36100,344
2015-06-25 00:00:00 UTC,0.00197237,36186,3077
2015-06-26 00:00:00 UTC,0.00208662,38282,1500
2015-06-27 00:00:00 UTC,0.00268462,49254,2046
2015-06-28 00:00:00 UTC,0.00259302,54240,1339
2015-06-29 00:00:00 UTC,0.00176881,37108,1581
2015-06-30 00:00:00 UTC,0.00204595,43049,509
2015-07-01 00:00:00 UTC,0.00221333,46708,1633
2015-07-02 00:00:00 UTC,0.00196308,41548,651
2015-07-03 00:00:00 UTC,0.0019722,41863,745
2015-07-04 00:00:00 UTC,0.00198243,42202,18535
2015-07-05 00:00:00 UTC,0.00226976,48457,3312
2015-07-06 00:00:00 UTC,0.00203865,43649,2338
2015-07-07 00:00:00 UTC,0.0022412,48123,1006
2015-07-08 00:00:00 UTC,0.00237017,51037,914
2015-07-09 00:00:00 UTC,0.00170267,36768,342
2015-07-10 00:00:00 UTC,0.00186544,40397,551
2015-07-11 00:00:00 UTC,0.00171713,37290,33
2015-07-12 00:00:00 UTC,0.00179539,39099,199
2015-07-13 00:00:00 UTC,0.00152368,33274,662
2015-07-14 00:00:00 UTC,0.00152979,33501,467
2015-07-15 00:00:00 UTC,0.00155412,34128,369
2015-07-16 00:00:00 UTC,0.00172964,38087,335
