snapped_at,price,market_cap,total_volume
2016-02-13 00:00:00 UTC,0.00115566,0,633
2016-02-14 00:00:00 UTC,0.000821243,4261,306
2016-02-15 00:00:00 UTC,0.000523242,2756,269
2016-02-16 00:00:00 UTC,0.000595632,3517,188
2016-02-17 00:00:00 UTC,0.000742816,4640,490
2016-02-18 00:00:00 UTC,0.000808908,5282,232
2016-02-19 00:00:00 UTC,0.000789776,5427,215
2016-02-20 00:00:00 UTC,0.00141613,10215,892
2016-02-21 00:00:00 UTC,0.00141274,10675,576
2016-02-22 00:00:00 UTC,0.00141449,11173,706
2016-02-23 00:00:00 UTC,0.00402607,33186,6323
2016-02-24 00:00:00 UTC,0.00255693,21946,3348
2016-02-25 00:00:00 UTC,0.00202121,18048,1230
2016-02-26 00:00:00 UTC,0.00172941,16032,960
2016-02-27 00:00:00 UTC,0.00175009,16822,617
2016-02-28 00:00:00 UTC,0.00261373,26021,3084
2016-02-29 00:00:00 UTC,0.00226834,23362,842
2016-03-01 00:00:00 UTC,0.0019387,20631,1296
2016-03-02 00:00:00 UTC,0.00375563,41241,1307
2016-03-03 00:00:00 UTC,0.00546225,61875,3731
2016-03-04 00:00:00 UTC,0.00694283,81024,1615
2016-03-05 00:00:00 UTC,0.00863572,103725,1369
2016-03-06 00:00:00 UTC,0.00687809,84958,12999
2016-03-07 00:00:00 UTC,0.00537389,68210,7587
2016-03-08 00:00:00 UTC,0.00435104,56716,8933
2016-03-09 00:00:00 UTC,0.00393727,52676,3686
2016-03-10 00:00:00 UTC,0.00408192,56010,4642
2016-03-11 00:00:00 UTC,0.00418663,58882,2842
2016-03-12 00:00:00 UTC,0.00431015,62093,2658
2016-03-13 00:00:00 UTC,0.00456615,67354,3446
2016-03-14 00:00:00 UTC,0.00535391,80809,5432
2016-03-15 00:00:00 UTC,0.00497581,76790,5384
2016-03-16 00:00:00 UTC,0.00513767,81050,3223
2016-03-17 00:00:00 UTC,0.00503987,81257,3069
2016-03-18 00:00:00 UTC,0.00564963,93028,4505
2016-03-19 00:00:00 UTC,0.00619028,104044,3852
2016-03-20 00:00:00 UTC,0.00681145,116811,5209
2016-03-21 00:00:00 UTC,0.00587239,102775,4508
2016-03-22 00:00:00 UTC,0.00599607,106993,3182
2016-03-23 00:00:00 UTC,0.00533355,96990,4818
2016-03-24 00:00:00 UTC,0.00494359,91582,2335
2016-03-25 00:00:00 UTC,0.00529018,99819,3750
2016-03-26 00:00:00 UTC,0.00485802,93332,2643
2016-03-27 00:00:00 UTC,0.00452291,88430,2040
2016-03-28 00:00:00 UTC,0.00378892,75376,2934
2016-03-29 00:00:00 UTC,0.00353036,71442,3684
2016-03-30 00:00:00 UTC,0.0035552,73160,1494
2016-03-31 00:00:00 UTC,0.00353395,73919,1412
2016-04-01 00:00:00 UTC,0.0033376,70949,2339
2016-04-02 00:00:00 UTC,0.00356781,77068,2214
2016-04-03 00:00:00 UTC,0.00573263,125633,15603
2016-04-04 00:00:00 UTC,0.00468914,104212,7249
2016-04-05 00:00:00 UTC,0.00482525,108759,2595
2016-04-06 00:00:00 UTC,0.00368147,84104,2920
2016-04-07 00:00:00 UTC,0.00386106,89407,2224
2016-04-08 00:00:00 UTC,0.00361609,84855,2378
2016-04-09 00:00:00 UTC,0.00358043,85114,1313
2016-04-10 00:00:00 UTC,0.00329076,79241,3317
2016-04-11 00:00:00 UTC,0.00256304,62498,4234
2016-04-12 00:00:00 UTC,0.00260434,64305,1098
2016-04-13 00:00:00 UTC,0.00240644,60155,1420
2016-04-14 00:00:00 UTC,0.00261452,66162,728
2016-04-15 00:00:00 UTC,0.00261559,66999,688
2016-04-16 00:00:00 UTC,0.00277711,71987,1128
2016-04-17 00:00:00 UTC,0.00264927,69487,1970
2016-04-18 00:00:00 UTC,0.00258982,68725,1236
2016-04-19 00:00:00 UTC,0.00268386,72047,1448
2016-04-20 00:00:00 UTC,0.00236488,64214,1502
2016-04-21 00:00:00 UTC,0.00199114,54679,1505
2016-04-22 00:00:00 UTC,0.00200312,55622,703
2016-04-23 00:00:00 UTC,0.00199219,55927,3751
2016-04-24 00:00:00 UTC,0.00219779,62375,1052
2016-04-25 00:00:00 UTC,0.00216858,62217,762
2016-04-26 00:00:00 UTC,0.00209389,60715,502
2016-04-27 00:00:00 UTC,0.00212068,62143,767
2016-04-28 00:00:00 UTC,0.00246058,72862,2190
2016-04-29 00:00:00 UTC,0.00224029,67029,2522
2016-04-30 00:00:00 UTC,0.00212143,64124,474
2016-05-01 00:00:00 UTC,0.00195828,59793,754
2016-05-02 00:00:00 UTC,0.00199939,61662,535
2016-05-03 00:00:00 UTC,0.00216267,67368,2142
2016-05-04 00:00:00 UTC,0.00258135,81205,2309
2016-05-05 00:00:00 UTC,0.00338764,107607,6986
2016-05-06 00:00:00 UTC,0.00266431,85455,6157
2016-05-07 00:00:00 UTC,0.00275926,89350,911
2016-05-08 00:00:00 UTC,0.00268958,87922,1265
2016-05-09 00:00:00 UTC,0.00238391,78664,1630
2016-05-10 00:00:00 UTC,0.0024155,80452,4589
2016-05-11 00:00:00 UTC,0.00238605,80206,1375
2016-05-12 00:00:00 UTC,0.00251411,85286,1007
2016-05-13 00:00:00 UTC,0.00235171,80501,1020
2016-05-14 00:00:00 UTC,0.00237515,82035,853
2016-05-15 00:00:00 UTC,0.00264928,92320,1326
2016-05-16 00:00:00 UTC,0.00267314,93976,1488
2016-05-17 00:00:00 UTC,0.00268519,95224,1228
2016-05-19 00:00:00 UTC,0.00253984,90958,2504
2016-05-20 00:00:00 UTC,0.00268164,96860,1973
2016-05-21 00:00:00 UTC,0.00259292,94061,2142
2016-05-22 00:00:00 UTC,0.0026999,98109,970
2016-05-23 00:00:00 UTC,0.00302488,110105,2010
2016-05-24 00:00:00 UTC,0.00307715,112199,1677
2016-05-25 00:00:00 UTC,0.00318574,116352,2245
2016-05-26 00:00:00 UTC,0.00240639,88034,7335
2016-05-27 00:00:00 UTC,0.00246731,90415,2577
2016-05-28 00:00:00 UTC,0.00247758,90929,944
2016-05-29 00:00:00 UTC,0.00238462,87630,2526
2016-05-30 00:00:00 UTC,0.00228941,84273,1335
2016-05-31 00:00:00 UTC,0.00236127,87063,516
2016-06-01 00:00:00 UTC,0.00232037,85697,627
2016-06-02 00:00:00 UTC,0.00253497,93780,1603
2016-06-03 00:00:00 UTC,0.00251489,93193,453
2016-06-04 00:00:00 UTC,0.00269278,99949,762
2016-06-05 00:00:00 UTC,0.0033,122692,671
2016-06-06 00:00:00 UTC,0.00322663,120164,645
2016-06-07 00:00:00 UTC,0.00307304,114633,1295
2016-06-08 00:00:00 UTC,0.00313005,116951,1719
2016-06-09 00:00:00 UTC,0.00327811,122682,947
2016-06-10 00:00:00 UTC,0.00325863,122157,1019
2016-06-11 00:00:00 UTC,0.00323739,121555,768
2016-06-12 00:00:00 UTC,0.00301614,113437,1350
2016-06-13 00:00:00 UTC,0.00292453,110171,1460
2016-06-14 00:00:00 UTC,0.00295416,111468,569
2016-06-15 00:00:00 UTC,0.00312489,118104,663
2016-06-16 00:00:00 UTC,0.00335841,127136,386
2016-06-17 00:00:00 UTC,0.00342203,129753,346
2016-06-18 00:00:00 UTC,0.00364559,138453,270
2016-06-19 00:00:00 UTC,0.00339584,129166,796
2016-06-20 00:00:00 UTC,0.00299955,114276,3320
2016-06-21 00:00:00 UTC,0.00297247,113427,807
2016-06-22 00:00:00 UTC,0.00266469,101846,945
2016-06-23 00:00:00 UTC,0.00243429,93190,872
2016-06-24 00:00:00 UTC,0.0024107,92436,772
2016-06-25 00:00:00 UTC,0.00257433,98868,589
2016-06-26 00:00:00 UTC,0.00247849,95340,781
2016-06-27 00:00:00 UTC,0.00263672,101588,870
2016-06-28 00:00:00 UTC,0.0026064,100581,1160
2016-06-29 00:00:00 UTC,0.00260364,100635,1380
2016-06-30 00:00:00 UTC,0.00313331,121301,1352
2016-07-01 00:00:00 UTC,0.00306495,118842,534
2016-07-02 00:00:00 UTC,0.00307102,119267,157
2016-07-03 00:00:00 UTC,0.00283909,110433,661
2016-07-04 00:00:00 UTC,0.00273823,106678,107
2016-07-05 00:00:00 UTC,0.00283138,110483,157
2016-07-06 00:00:00 UTC,0.00291764,114028,356
2016-07-07 00:00:00 UTC,0.00303034,118621,639
2016-07-08 00:00:00 UTC,0.00331853,130103,1210
2016-07-09 00:00:00 UTC,0.00328735,129087,385
2016-07-10 00:00:00 UTC,0.00355143,139674,1046
2016-07-11 00:00:00 UTC,0.00369252,145448,864
2016-07-12 00:00:00 UTC,0.00372544,146976,2420
2016-07-13 00:00:00 UTC,0.00378407,149523,869
2016-07-14 00:00:00 UTC,0.00401847,159032,595
2016-07-15 00:00:00 UTC,0.00407907,161682,189
2016-07-16 00:00:00 UTC,0.00388692,154305,173
2016-07-17 00:00:00 UTC,0.00449568,178749,1017
2016-07-18 00:00:00 UTC,0.00443284,176525,1405
2016-07-19 00:00:00 UTC,0.00447747,178578,3607
2016-07-20 00:00:00 UTC,0.00443442,177137,281
2016-07-21 00:00:00 UTC,0.00379726,151920,701
2016-07-22 00:00:00 UTC,0.00351686,140916,1013
2016-07-23 00:00:00 UTC,0.00347436,139426,874
2016-07-24 00:00:00 UTC,0.00391048,157169,808
2016-07-25 00:00:00 UTC,0.00410283,165153,383
2016-07-26 00:00:00 UTC,0.00394444,159018,283
2016-07-27 00:00:00 UTC,0.00376535,152030,650
2016-07-28 00:00:00 UTC,0.00369034,149227,769
2016-07-29 00:00:00 UTC,0.00350576,141979,251
2016-07-30 00:00:00 UTC,0.00359645,145875,247
2016-07-31 00:00:00 UTC,0.00301211,122358,461
2016-08-01 00:00:00 UTC,0.00323596,131651,1691
2016-08-02 00:00:00 UTC,0.00378285,154135,3247
2016-08-03 00:00:00 UTC,0.00307901,125645,900
2016-08-04 00:00:00 UTC,0.00485229,198309,3240
2016-08-05 00:00:00 UTC,0.00441912,180873,3008
2016-08-06 00:00:00 UTC,0.00428875,175806,2314
2016-08-07 00:00:00 UTC,0.00375773,154270,2580
2016-08-08 00:00:00 UTC,0.00382836,146952,1947
2016-08-09 00:00:00 UTC,0.00453995,195217,1276
2016-08-10 00:00:00 UTC,0.00431447,185532,1173
2016-08-11 00:00:00 UTC,0.0039462,169841,167
2016-08-12 00:00:00 UTC,0.00413546,178126,78
2016-08-13 00:00:00 UTC,0.0041287,177887,217
2016-08-14 00:00:00 UTC,0.00363817,156650,443
2016-08-15 00:00:00 UTC,0.00331649,143018,1283
2016-08-16 00:00:00 UTC,0.00350338,151300,710
2016-08-17 00:00:00 UTC,0.00386929,166449,254
2016-08-18 00:00:00 UTC,0.00388601,167131,2758
2016-08-19 00:00:00 UTC,0.00433441,186739,1896
2016-08-20 00:00:00 UTC,0.00427092,184277,338
2016-08-21 00:00:00 UTC,0.00367428,158761,1020
2016-08-22 00:00:00 UTC,0.00390152,168729,430
2016-08-23 00:00:00 UTC,0.00357573,154870,1777
2016-08-24 00:00:00 UTC,0.00344976,149632,1729
2016-08-25 00:00:00 UTC,0.00349038,151620,127
2016-08-26 00:00:00 UTC,0.00340657,148195,421
2016-08-27 00:00:00 UTC,0.00345607,150571,403
2016-08-28 00:00:00 UTC,0.00310723,135572,512
2016-08-29 00:00:00 UTC,0.00339673,148423,380
2016-08-30 00:00:00 UTC,0.00340036,148797,1956
2016-08-31 00:00:00 UTC,0.00344323,150890,25
2016-09-01 00:00:00 UTC,0.00322129,141373,294
2016-09-02 00:00:00 UTC,0.00345037,151444,219
2016-09-03 00:00:00 UTC,0.00417144,183363,1438
2016-09-04 00:00:00 UTC,0.0036288,159743,1515
2016-09-05 00:00:00 UTC,0.00417136,183900,871
2016-09-06 00:00:00 UTC,0.0042608,188119,503
2016-09-07 00:00:00 UTC,0.00390108,172489,637
2016-09-08 00:00:00 UTC,0.00423216,187400,420
2016-09-09 00:00:00 UTC,0.00441672,195854,252
2016-09-10 00:00:00 UTC,0.00448209,199041,850
2016-09-11 00:00:00 UTC,0.0045141,200751,428
2016-09-12 00:00:00 UTC,0.00425651,189571,412
2016-09-13 00:00:00 UTC,0.00449068,200290,442
2016-09-14 00:00:00 UTC,0.00446126,199266,676
2016-09-15 00:00:00 UTC,0.00431869,193173,134
2016-09-16 00:00:00 UTC,0.00388346,173956,742
2016-09-17 00:00:00 UTC,0.00380189,170546,346
2016-09-18 00:00:00 UTC,0.00361493,162374,1137
2016-09-19 00:00:00 UTC,0.00375208,168749,794
2016-09-20 00:00:00 UTC,0.00395513,178111,835
2016-09-21 00:00:00 UTC,0.00385635,173884,180
2016-09-22 00:00:00 UTC,0.00390491,176297,40
2016-09-23 00:00:00 UTC,0.00383308,173166,178
2016-09-24 00:00:00 UTC,0.0039508,178715,40
2016-09-25 00:00:00 UTC,0.003755,170074,188
2016-09-26 00:00:00 UTC,0.00405448,183918,206
2016-09-27 00:00:00 UTC,0.00406128,184466,1
2016-09-28 00:00:00 UTC,0.00404987,184216,2
2016-09-29 00:00:00 UTC,0.00391379,178250,592
2016-09-30 00:00:00 UTC,0.00364906,166403,689
2016-10-01 00:00:00 UTC,0.00379914,173465,1108
2016-10-02 00:00:00 UTC,0.00380901,174134,393
2016-10-03 00:00:00 UTC,0.00387475,177362,789
2016-10-04 00:00:00 UTC,0.00386566,177111,1109
2016-10-05 00:00:00 UTC,0.00358914,164442,2284
2016-10-06 00:00:00 UTC,0.00355662,163413,508
2016-10-07 00:00:00 UTC,0.00366144,168439,571
2016-10-08 00:00:00 UTC,0.00288267,132780,969
2016-10-09 00:00:00 UTC,0.00322508,148737,813
2016-10-10 00:00:00 UTC,0.00303616,140199,322
2016-10-11 00:00:00 UTC,0.0031919,147575,1707
2016-10-12 00:00:00 UTC,0.00336373,155713,111
2016-10-13 00:00:00 UTC,0.00369854,171425,525
2016-10-14 00:00:00 UTC,0.00383651,178040,1899
2016-10-15 00:00:00 UTC,0.00416352,193456,347
2016-10-16 00:00:00 UTC,0.00421842,196250,522
2016-10-17 00:00:00 UTC,0.00397362,185089,551
2016-10-18 00:00:00 UTC,0.0036819,171695,733
2016-10-19 00:00:00 UTC,0.00381626,178154,1246
2016-10-20 00:00:00 UTC,0.00359522,168016,346
2016-10-21 00:00:00 UTC,0.0035561,166373,178
2016-10-22 00:00:00 UTC,0.00354417,165996,831
2016-10-23 00:00:00 UTC,0.00360703,169125,99
2016-10-24 00:00:00 UTC,0.00360197,169072,165
2016-10-25 00:00:00 UTC,0.00361081,169533,1047
2016-10-26 00:00:00 UTC,0.0040147,188856,661
2016-10-27 00:00:00 UTC,0.00420581,198061,4433
2016-10-28 00:00:00 UTC,0.00549121,258873,4932
2016-10-29 00:00:00 UTC,0.00556066,262432,5703
2016-10-30 00:00:00 UTC,0.00794699,375460,17281
2016-10-31 00:00:00 UTC,0.00796988,376947,20725
2016-11-01 00:00:00 UTC,0.00597453,282878,5245
2016-11-02 00:00:00 UTC,0.00919894,436017,8434
2016-11-03 00:00:00 UTC,0.00815936,387156,7771
2016-11-04 00:00:00 UTC,0.00841956,399934,5765
2016-11-05 00:00:00 UTC,0.00947988,450785,6173
2016-11-06 00:00:00 UTC,0.0107198,510324,8961
2016-11-07 00:00:00 UTC,0.0156777,747152,24112
2016-11-08 00:00:00 UTC,0.0149252,712058,9869
2016-11-09 00:00:00 UTC,0.0116977,558678,9002
2016-11-10 00:00:00 UTC,0.0109013,521204,3727
2016-11-11 00:00:00 UTC,0.0103309,494460,1015
2016-11-12 00:00:00 UTC,0.0104602,501189,933
2016-11-13 00:00:00 UTC,0.0114506,549227,2598
2016-11-14 00:00:00 UTC,0.0111753,536593,5624
