snapped_at,price,market_cap,total_volume
2017-07-13 00:00:00 UTC,4.69,173548839.73,0.0
2017-07-14 00:00:00 UTC,4.69,173548839.73,0.0
2017-07-15 00:00:00 UTC,1.51,55876065.67,1854020.0
2017-07-16 00:00:00 UTC,1.36,50325476.72,2089640.0
2017-07-17 00:00:00 UTC,2.57,95100349.39,1837640.0
2017-07-18 00:00:00 UTC,2.51,92880107.77,2377920.0
2017-07-19 00:00:00 UTC,1.94,71787812.38,1038340.0
2017-07-20 00:00:00 UTC,2.36,87329503.72,506385.0
2017-07-21 00:00:00 UTC,2.37,87699543.99,655054.0
2017-07-22 00:00:00 UTC,2.7,99910872.9,362166.0
2017-07-23 00:00:00 UTC,2.55,94360268.85,439152.0
2017-07-24 00:00:00 UTC,2.44,90289825.88,988078.0
2017-07-25 00:00:00 UTC,2.26,83629101.02,418069.0
2017-07-26 00:00:00 UTC,2.32,85849342.64,536523.0
2017-07-27 00:00:00 UTC,2.52,93250148.04,618613.0
2017-07-28 00:00:00 UTC,2.65,98060671.55,989811.0
2017-07-29 00:00:00 UTC,2.86,105831517.22,953810.0
2017-07-30 00:00:00 UTC,2.78,102871195.06,495882.0
2017-07-31 00:00:00 UTC,3.23,119523007.21,1031790.0
2017-08-01 00:00:00 UTC,3.62,133954577.74,812610.0
2017-08-02 00:00:00 UTC,3.37,124703570.99,489100.0
2017-08-03 00:00:00 UTC,3.64,134694658.28,503187.0
2017-08-04 00:00:00 UTC,3.96,146535946.92,1064830.0
2017-08-05 00:00:00 UTC,4.04,149496269.08,635953.0
2017-08-06 00:00:00 UTC,4.61,170588564.47,452278.0
2017-08-07 00:00:00 UTC,6.0,222024162.0,1418600.0
2017-08-08 00:00:00 UTC,5.43,200931866.61,1996180.0
2017-08-09 00:00:00 UTC,5.9,218323759.3,786980.0
2017-08-10 00:00:00 UTC,6.46,239046014.42,982788.0
2017-08-11 00:00:00 UTC,6.12,226464645.24,969484.0
2017-08-12 00:00:00 UTC,6.06,224244403.62,895110.0
2017-08-13 00:00:00 UTC,5.54,205002309.58,518244.0
2017-08-14 00:00:00 UTC,5.29,195751302.83,926642.0
2017-08-15 00:00:00 UTC,4.71,194298078.66,592558.0
2017-08-16 00:00:00 UTC,4.89,201723482.94,729663.0
2017-08-17 00:00:00 UTC,4.8,198010780.8,732773.0
2017-08-18 00:00:00 UTC,5.38,221937083.48,702765.0
2017-08-19 00:00:00 UTC,4.84,199660870.64,592572.0
2017-08-20 00:00:00 UTC,4.56,188110241.76,321645.0
2017-08-21 00:00:00 UTC,4.16,171609343.36,671253.0
2017-08-22 00:00:00 UTC,3.93,162121326.78,410508.0
2017-08-23 00:00:00 UTC,3.62,149333130.52,411229.0
2017-08-24 00:00:00 UTC,4.41,181922404.86,758689.0
2017-08-25 00:00:00 UTC,4.41,181922404.86,419206.0
2017-08-26 00:00:00 UTC,3.79,156346012.34,467265.0
2017-08-27 00:00:00 UTC,3.9,160883759.4,354046.0
2017-08-28 00:00:00 UTC,3.88,160058714.48,444897.0
2017-08-29 00:00:00 UTC,3.88,160058714.48,398600.0
2017-08-30 00:00:00 UTC,3.77,155520967.42,543820.0
2017-08-31 00:00:00 UTC,3.65,150570697.9,339633.0
2017-09-01 00:00:00 UTC,4.14,170784298.44,1399220.0
