Date,BITW100
Sun Jan 01 2017 00:00:00 GMT+0000,964
Mon Jan 02 2017 00:00:00 GMT+0000,996
Tue Jan 03 2017 00:00:00 GMT+0000,1019.82
Wed Jan 04 2017 00:00:00 GMT+0000,1047.76
Thu Jan 05 2017 00:00:00 GMT+0000,1163.81
Fri Jan 06 2017 00:00:00 GMT+0000,1025.04
Sat Jan 07 2017 00:00:00 GMT+0000,921.47
Sun Jan 08 2017 00:00:00 GMT+0000,922.96
Mon Jan 09 2017 00:00:00 GMT+0000,929.99
Tue Jan 10 2017 00:00:00 GMT+0000,921.25
Wed Jan 11 2017 00:00:00 GMT+0000,929.77
Thu Jan 12 2017 00:00:00 GMT+0000,799.74
Fri Jan 13 2017 00:00:00 GMT+0000,828.02
Sat Jan 14 2017 00:00:00 GMT+0000,846.45
Sun Jan 15 2017 00:00:00 GMT+0000,841.4
Mon Jan 16 2017 00:00:00 GMT+0000,844.95
Tue Jan 17 2017 00:00:00 GMT+0000,853
Wed Jan 18 2017 00:00:00 GMT+0000,927.68
Thu Jan 19 2017 00:00:00 GMT+0000,907.89
Fri Jan 20 2017 00:00:00 GMT+0000,918.9
Sat Jan 21 2017 00:00:00 GMT+0000,917.33
Sun Jan 22 2017 00:00:00 GMT+0000,943.22
Mon Jan 23 2017 00:00:00 GMT+0000,944.95
Tue Jan 24 2017 00:00:00 GMT+0000,932.25
Wed Jan 25 2017 00:00:00 GMT+0000,912.63
Thu Jan 26 2017 00:00:00 GMT+0000,921.53
Fri Jan 27 2017 00:00:00 GMT+0000,937.7
Sat Jan 28 2017 00:00:00 GMT+0000,938.55
Sun Jan 29 2017 00:00:00 GMT+0000,942.09
Mon Jan 30 2017 00:00:00 GMT+0000,941.11
Tue Jan 31 2017 00:00:00 GMT+0000,943.66
Wed Feb 01 2017 00:00:00 GMT+0000,988.57
Thu Feb 02 2017 00:00:00 GMT+0000,1005.98
Fri Feb 03 2017 00:00:00 GMT+0000,1025.78
Sat Feb 04 2017 00:00:00 GMT+0000,1045.92
Sun Feb 05 2017 00:00:00 GMT+0000,1058.39
Mon Feb 06 2017 00:00:00 GMT+0000,1043.84
Tue Feb 07 2017 00:00:00 GMT+0000,1055.41
Wed Feb 08 2017 00:00:00 GMT+0000,1075.34
Thu Feb 09 2017 00:00:00 GMT+0000,1076.86
Fri Feb 10 2017 00:00:00 GMT+0000,1009.78
Sat Feb 11 2017 00:00:00 GMT+0000,1004.55
Sun Feb 12 2017 00:00:00 GMT+0000,1019.02
Mon Feb 13 2017 00:00:00 GMT+0000,1014.9
Tue Feb 14 2017 00:00:00 GMT+0000,1007.05
Wed Feb 15 2017 00:00:00 GMT+0000,1031.19
Thu Feb 16 2017 00:00:00 GMT+0000,1033.13
Fri Feb 17 2017 00:00:00 GMT+0000,1047.64
Sat Feb 18 2017 00:00:00 GMT+0000,1067.59
Sun Feb 19 2017 00:00:00 GMT+0000,1071.61
Mon Feb 20 2017 00:00:00 GMT+0000,1066.83
Tue Feb 21 2017 00:00:00 GMT+0000,1089.44
Wed Feb 22 2017 00:00:00 GMT+0000,1120.88
Thu Feb 23 2017 00:00:00 GMT+0000,1123.58
Fri Feb 24 2017 00:00:00 GMT+0000,1177.82
Sat Feb 25 2017 00:00:00 GMT+0000,1173.47
Sun Feb 26 2017 00:00:00 GMT+0000,1152.79
Mon Feb 27 2017 00:00:00 GMT+0000,1175.93
Tue Feb 28 2017 00:00:00 GMT+0000,1195.14
Wed Mar 01 2017 00:00:00 GMT+0000,1198.9
Thu Mar 02 2017 00:00:00 GMT+0000,1252.18
Fri Mar 03 2017 00:00:00 GMT+0000,1287.13
Sat Mar 04 2017 00:00:00 GMT+0000,1317
Sun Mar 05 2017 00:00:00 GMT+0000,1289.12
Mon Mar 06 2017 00:00:00 GMT+0000,1306.19
Tue Mar 07 2017 00:00:00 GMT+0000,1315.81
Wed Mar 08 2017 00:00:00 GMT+0000,1266.47
Thu Mar 09 2017 00:00:00 GMT+0000,1185.72
Fri Mar 10 2017 00:00:00 GMT+0000,1232.06
Sat Mar 11 2017 00:00:00 GMT+0000,1174.35
Sun Mar 12 2017 00:00:00 GMT+0000,1255.47
Mon Mar 13 2017 00:00:00 GMT+0000,1311.03
Tue Mar 14 2017 00:00:00 GMT+0000,1350.79
Wed Mar 15 2017 00:00:00 GMT+0000,1366.78
Thu Mar 16 2017 00:00:00 GMT+0000,1417.49
Fri Mar 17 2017 00:00:00 GMT+0000,1409.41
Sat Mar 18 2017 00:00:00 GMT+0000,1346.03
Sun Mar 19 2017 00:00:00 GMT+0000,1185.55
Mon Mar 20 2017 00:00:00 GMT+0000,1293.55
Tue Mar 21 2017 00:00:00 GMT+0000,1299.33
Wed Mar 22 2017 00:00:00 GMT+0000,1354.42
Thu Mar 23 2017 00:00:00 GMT+0000,1294.58
Fri Mar 24 2017 00:00:00 GMT+0000,1298.19
Sat Mar 25 2017 00:00:00 GMT+0000,1251.97
Sun Mar 26 2017 00:00:00 GMT+0000,1265.04
Mon Mar 27 2017 00:00:00 GMT+0000,1268.94
Tue Mar 28 2017 00:00:00 GMT+0000,1318.17
Wed Mar 29 2017 00:00:00 GMT+0000,1331.13
Thu Mar 30 2017 00:00:00 GMT+0000,1341.08
Fri Mar 31 2017 00:00:00 GMT+0000,1340.89
Sat Apr 01 2017 00:00:00 GMT+0000,1393.17
Sun Apr 02 2017 00:00:00 GMT+0000,1405.35
Mon Apr 03 2017 00:00:00 GMT+0000,1510.77
Tue Apr 04 2017 00:00:00 GMT+0000,1458.19
Wed Apr 05 2017 00:00:00 GMT+0000,1467.64
Thu Apr 06 2017 00:00:00 GMT+0000,1472.48
Fri Apr 07 2017 00:00:00 GMT+0000,1489.17
Sat Apr 08 2017 00:00:00 GMT+0000,1483.39
Sun Apr 09 2017 00:00:00 GMT+0000,1505.02
Mon Apr 10 2017 00:00:00 GMT+0000,1497.74
Tue Apr 11 2017 00:00:00 GMT+0000,1499.34
Wed Apr 12 2017 00:00:00 GMT+0000,1511.73
Thu Apr 13 2017 00:00:00 GMT+0000,1541.82
Fri Apr 14 2017 00:00:00 GMT+0000,1534.62
