date,top10_Liquid,top10_Market
2017-01-01,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'ZEC', 'MAID', 'XRP', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-02,"['BTC', 'LTC', 'ETH', 'XMR', 'DASH', 'ETC', 'XRP', 'MAID', 'ZEC', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-03,"['BTC', 'ETH', 'XMR', 'LTC', 'ETC', 'DASH', 'ZEC', 'XRP', 'REP', 'MAID']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-04,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'ZEC', 'XRP', 'BTS', 'MAID']","['BTC', 'ETH', 'XMR', 'XRP', 'LTC', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-05,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'XRP', 'ZEC', 'DASH', 'DOGE', 'REP']","['BTC', 'ETH', 'XRP', 'XMR', 'LTC', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-06,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'XRP', 'ZEC', 'MAID', 'REP']","['BTC', 'ETH', 'XRP', 'XMR', 'LTC', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-07,"['BTC', 'ETH', 'LTC', 'XMR', 'ETC', 'DASH', 'XRP', 'ZEC', 'REP', 'DOGE']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-08,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'ZEC', 'XRP', 'SC', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-09,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'ETC', 'XRP', 'ZEC', 'REP', 'SC']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-10,"['BTC', 'LTC', 'ETH', 'XMR', 'XRP', 'DASH', 'ETC', 'ZEC', 'DOGE', 'SC']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-11,"['BTC', 'ETH', 'LTC', 'XMR', 'XRP', 'ETC', 'DASH', 'ZEC', 'MAID', 'DOGE']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-12,"['BTC', 'ETH', 'LTC', 'DASH', 'XRP', 'XMR', 'ETC', 'ZEC', 'DOGE', 'XLM']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'STEEM']"
2017-01-13,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'XRP', 'ETC', 'ZEC', 'REP', 'MAID']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'XEM']"
2017-01-14,"['BTC', 'ETH', 'DASH', 'LTC', 'XMR', 'XRP', 'ZEC', 'ETC', 'MAID', 'REP']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'REP', 'MAID', 'XEM']"
2017-01-15,"['BTC', 'ETH', 'LTC', 'XMR', 'DASH', 'MAID', 'ZEC', 'XRP', 'ETC', 'SC']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'XEM']"
2017-01-16,"['BTC', 'ETH', 'LTC', 'DASH', 'XMR', 'MAID', 'XRP', 'ZEC', 'STEEM', 'ETC']","['BTC', 'ETH', 'XRP', 'LTC', 'XMR', 'ETC', 'DASH', 'MAID', 'REP', 'STEEM']"
