date,top10_Liquid,top10_Market
2018-01-07,"['BTC ', 'ETH ', 'XRP ', 'TRX ', 'QTUM ', 'BCH ', 'LTC ', 'EOS ', 'ZEC ', 'ETC ']","['BTC', 'XRP', 'ETH', 'BCH', 'ADA', 'XEM', 'LTC', 'TRX', 'XLM', 'MIOTA']"
2018-01-14,"['BTC ', 'ETH ', 'XRP ', 'ETC ', 'EOS ', 'BCH ', 'LTC ', 'BTG ', 'QTUM ', 'TRX ']","['BTC', 'ETH', 'XRP', 'BCH', 'ADA', 'LTC', 'XEM', 'XLM', 'NEO', 'MIOTA']"
2018-01-21,"['BTC ', 'ETH ', 'EOS ', 'XRP ', 'QTUM ', 'ADA ', 'BCH ', 'TRX ', 'LTC ', 'ETC ']","['BTC', 'ETH', 'XRP', 'BCH', 'ADA', 'LTC', 'XEM', 'NEO', 'EOS', 'XLM']"
2018-01-28,"['BTC ', 'ETH ', 'XRP ', 'EOS ', 'BCH ', 'LTC ', 'ETC ', 'QTUM ', 'ADA ', 'TRX ']","['BTC', 'ETH', 'XRP', 'BCH', 'ADA', 'XLM', 'LTC', 'NEO', 'EOS', 'XEM']"
2018-02-04,"['BTC ', 'ETH ', 'XRP ', 'LTC ', 'SNT ', 'ADA ', 'BCH ', 'EOS ', 'XLM ', 'QTUM ']","['BTC', 'ETH', 'XRP', 'BCH', 'ADA', 'LTC', 'NEO', 'XLM', 'EOS', 'XEM']"
2018-02-11,"['BTC ', 'XRP ', 'ETH ', 'BCH ', 'LTC ', 'EOS ', 'ETC ', 'ADA ', 'TRX ', 'QTUM ']","['BTC', 'ETH', 'XRP', 'BCH', 'ADA', 'LTC', 'XLM', 'NEO', 'EOS', 'XEM']"
2018-02-18,"['BTC ', 'ETH ', 'XRP ', 'LTC ', 'BCH ', 'ETC ', 'EOS ', 'ADA ', 'NEO ', 'TRX ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'ADA', 'XLM', 'NEO', 'EOS', 'MIOTA']"
2018-02-25,"['BTC ', 'ETH ', 'LTC ', 'ETC ', 'BCH ', 'XRP ', 'ADA ', 'TRX ', 'EOS ', 'NANO ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'ADA', 'NEO', 'XLM', 'EOS', 'MIOTA']"
2018-03-04,"['BTC ', 'ETH ', 'XRP ', 'ETC ', 'LTC ', 'BCH ', 'TRX ', 'EOS ', 'NEO ', 'XMR ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'ADA', 'NEO', 'XLM', 'XMR', 'EOS']"
2018-03-11,"['BTC ', 'ETH ', 'LTC ', 'BCH ', 'XRP ', 'ETC ', 'EOS ', 'TRX ', 'ADA ', 'NEO ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'NEO', 'ADA', 'XLM', 'XMR', 'EOS']"
2018-03-18,"['BTC ', 'ETH ', 'XRP ', 'LTC ', 'BCH ', 'EOS ', 'NEO ', 'ETC ', 'ADA ', 'QTUM ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'NEO', 'XLM', 'ADA', 'EOS', 'MIOTA']"
2018-03-25,"['BTC ', 'ETH ', 'EOS ', 'LTC ', 'XRP ', 'BCH ', 'TRX ', 'QTUM ', 'ETC ', 'NEO ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'EOS', 'ADA', 'XLM', 'NEO', 'MIOTA']"
2018-04-01,"['BTC ', 'ETH ', 'EOS ', 'BCH ', 'LTC ', 'XRP ', 'TRX ', 'ETC ', 'QTUM ', 'BNB ']","['BTC', 'ETH', 'XRP', 'BCH', 'LTC', 'EOS', 'ADA', 'XLM', 'NEO', 'XMR']"
